GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
etudiant-backend,com.openclassrooms.etudiant,EtudiantBackendApplication,5,3,0,0,2,1,1,1,1,1
etudiant-backend,com.openclassrooms.etudiant.mapper,UserDtoMapperImpl,2,27,1,1,1,8,1,2,0,2
etudiant-backend,com.openclassrooms.etudiant.mapper,StudentDtoMapperImpl,4,39,2,2,2,12,2,3,0,3
etudiant-backend,com.openclassrooms.etudiant.controller,UserController,0,32,0,0,0,5,0,3,0,3
etudiant-backend,com.openclassrooms.etudiant.controller,StudentController,0,78,0,0,0,20,0,6,0,6
etudiant-backend,com.openclassrooms.etudiant.handler,RestExceptionHandler,0,81,0,0,0,12,0,7,0,7
etudiant-backend,com.openclassrooms.etudiant.handler,ErrorDetails,147,21,30,0,2,4,23,4,8,4
etudiant-backend,com.openclassrooms.etudiant.configuration.logging,RequestLoggingFilterConfig,0,24,0,0,0,8,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.configuration,AppConfig,0,15,0,0,0,4,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.service,UserService,0,94,0,6,0,20,0,7,0,4
etudiant-backend,com.openclassrooms.etudiant.service,JwtService,0,72,1,3,0,21,1,8,0,7
etudiant-backend,com.openclassrooms.etudiant.service,StudentService,0,58,0,0,0,12,0,7,0,7
etudiant-backend,com.openclassrooms.etudiant.configuration.security,SpringSecurityConfig,0,91,0,0,0,21,0,9,0,9
etudiant-backend,com.openclassrooms.etudiant.configuration.security,JwtAuthenticationFilter,1,73,4,6,1,21,4,3,0,2
etudiant-backend,com.openclassrooms.etudiant.configuration.security,CustomUserDetailService,6,15,0,0,0,3,1,2,1,2
